City,EmployeeID,EmployeeName,NumOpens,Role,RoleID,Username,YearsAtCompany,"_time"
Seattle,117975,"Lucas Carroll",1007,"Registered Nurse",24216185,LCARROLL,2,"1478131200.000"
Seattle,117975,"Lucas Carroll",113,"Registered Nurse",24216185,LCARROLL,2,"1478131200.000"
Seattle,129412,"William Harris",1279,"Registered Nurse",24216185,WHARRIS,7,"1478131200.000"
Seattle,129412,"William Harris",157,"Registered Nurse",24216185,WHARRIS,7,"1478131200.000"
Seattle,105083,"Charles Weber",16,"Physician CPOE",24214989,CWEBER,7,"1478131200.000"
Honolulu,122679,"Phillip Tucker",1246,DBA,24209801,PTUCKER,6,"1478131200.000"
Honolulu,127970,"Drew Schaefer",17,Transport,107938504,DSCHAEFER,6,"1478131200.000"
"San Diego",123935,"Jared Reilly",17,"Occupational Therapist",24214159,JREILLY,1,"1478131200.000"
Honolulu,132811,"Nina Hanson",17,Transport,107938504,NHANSON,1,"1478131200.000"
"San Diego",126217,"Sara Austin",17,"Registered Nurse",24216185,SAUSTIN,3,"1478131200.000"
"Santa Rosa",136360,"Stacey Henry",17,DBA,24209801,SHENRY,1,"1478131200.000"
"Santa Rosa",127121,"Stacy Velasquez",17,"Occupational Therapist",24214159,SVELASQUEZ,3,"1478131200.000"
"San Diego",102760,"Jacob Burke",18,DBA,24209801,JBURKE,3,"1478131200.000"
"San Francisco",123226,"Kelsey Werner",18,DBA,24209801,KWERNER,10,"1478131200.000"
Honolulu,122179,"Oscar Lee",18,DBA,24209801,OLEE,2,"1478131200.000"
Seattle,115349,"Gary Dunlap",19,DBA,24209801,GDUNLAP,1,"1478131200.000"
Denver,134799,"Natasha Hensley",19,DBA,24209801,NHENSLEY,1,"1478131200.000"
"San Diego",125748,"Tyler Yates",19,"Physical Therapist",24214774,TYATES,3,"1478131200.000"
"San Francisco",116095,"Brittney Lamb",20,Transport,107938504,BLAMB,8,"1478131200.000"
Honolulu,100288,"Dawn Rodgers",20,"Registered Nurse",24216185,DRODGERS,7,"1478131200.000"
"San Francisco",116008,"Pamela Armstrong",20,Transport,107938504,PARMSTRONG,7,"1478131200.000"
"San Diego",115716,"Brent Andrade",21,"Physician CPOE",24214989,BANDRADE,3,"1478131200.000"
Honolulu,101214,"Calvin Hoffman",21,"Registered Nurse",24216185,CHOFFMAN,7,"1478131200.000"
Seattle,107915,"Clayton Fox",21,DBA,24209801,CFOX,9,"1478131200.000"
Denver,106910,"Gabriel Sosa",21,"Occupational Therapist",24214159,GSOSA,1,"1478131200.000"
Honolulu,109606,"Ian Bradford",21,DBA,24209801,IBRADFORD,2,"1478131200.000"
Seattle,139744,"Shane Ellis",21,"Occupational Therapist",24214159,SELLIS,3,"1478131200.000"
Seattle,116722,"Stacy Riddle",21,"Physical Therapist",24214774,SRIDDLE,4,"1478131200.000"
"San Diego",124246,"Jessica Lane",211,"Occupational Therapist",24214159,JLANE,8,"1478131200.000"
Seattle,105083,"Charles Weber",214,"Physician CPOE",24214989,CWEBER,7,"1478131200.000"
"San Francisco",125027,"Erik Mcgee",215,DBA,24209801,EMCGEE,5,"1478131200.000"
Denver,128146,"Marie Smith",216,DBA,24209801,MSMITH,4,"1478131200.000"
Honolulu,118124,"Jeffery Lloyd",219,"Registered Nurse",24216185,JLLOYD,10,"1478131200.000"
Denver,114898,"Abigail Osborn",22,"Registered Nurse",24216185,AOSBORN,6,"1478131200.000"
"Santa Rosa",120145,"Anna Chen",22,"Registered Nurse",24216185,ACHEN,7,"1478131200.000"
Honolulu,108800,"Brandi Martin",22,DBA,24209801,BMARTIN,1,"1478131200.000"
Honolulu,104722,"Francisco Castro",22,Transport,107938504,FCASTRO,3,"1478131200.000"
"Santa Rosa",135363,"Gerald Johnston",22,"Occupational Therapist",24214159,GJOHNSTON,7,"1478131200.000"
"San Diego",105523,"Henry Watts",22,"Registered Nurse",24216185,HWATTS,9,"1478131200.000"
Denver,117054,"Holly Irwin",22,"Physician, Hospitalist Service",24215364,HIRWIN,2,"1478131200.000"
Honolulu,102328,"Maria Lloyd",22,DBA,24209801,MLLOYD,6,"1478131200.000"
